[2025-03-21 14:53:30,756] pmultiqc                                           [WARNING]  Running pmultiqc Plugin v0.0.25
[2025-03-21 14:53:32,834] multiqc.core.version_check                         [WARNING]  MultiQC Version v1.27.1 now available!
[2025-03-21 14:53:32,834] multiqc.core.file_search                           [INFO   ]  Search path: /home/yueqx/Data_Disk/proteogenomics/pmultiqc_lib/test_datasets/resources/mzML_MGF_file/PXD051187
[2025-03-21 14:53:37,359] pmultiqc.modules.quantms.quantms                   [INFO   ]  pyopenms has: 20 threads.
[2025-03-21 14:53:37,361] pmultiqc.modules.quantms.quantms                   [INFO   ]  14:53:37: Parsing MzIdentML file resources/mzML_MGF_file/PXD051187/33060_Control_vs_Infection_JMI.mzid...
[2025-03-21 14:53:42,192] pmultiqc.modules.quantms.quantms                   [INFO   ]  14:53:42: Done parsing MzIdentML file resources/mzML_MGF_file/PXD051187/33060_Control_vs_Infection_JMI.mzid.
[2025-03-21 14:53:42,193] pmultiqc.modules.quantms.quantms                   [INFO   ]  14:53:42: Aggregating MzIdentML file 33060_Control_vs_Infection_JMI...
[2025-03-21 14:55:53,597] pmultiqc.modules.quantms.quantms                   [INFO   ]  14:55:53: Done aggregating MzIdentML file 33060_Control_vs_Infection_JMI...
[2025-03-21 14:56:28,315] pmultiqc.modules.quantms.quantms                   [INFO   ]  14:56:28: Parsing mzML file resources/mzML_MGF_file/PXD051187/33060_Control_vs_Infection_JMI.mzML...
[2025-03-21 14:56:45,842] pmultiqc.modules.quantms.quantms                   [INFO   ]  14:56:45: Done parsing mzML file resources/mzML_MGF_file/PXD051187/33060_Control_vs_Infection_JMI.mzML...
[2025-03-21 14:56:45,842] pmultiqc.modules.quantms.quantms                   [INFO   ]  14:56:45: Aggregating mzML file 33060_Control_vs_Infection_JMI...
[2025-03-21 15:00:30,293] pmultiqc.modules.quantms.quantms                   [INFO   ]  15:00:30: Done aggregating mzML file 33060_Control_vs_Infection_JMI...
[2025-03-21 15:00:30,465] pmultiqc.modules.quantms.quantms                   [INFO   ]  Calculating Heatmap Scores...
[2025-03-21 15:00:36,169] pmultiqc.modules.quantms.quantms                   [INFO   ]  Done calculating Heatmap Scores.
