Sample	Frequency
1	1078.0
10	104.0
108	1.0
109	1.0
11	75.0
12	79.0
126	1.0
127	1.0
13	67.0
14	56.0
15	43.0
156	1.0
16	32.0
17	39.0
18	29.0
19	18.0
2	662.0
20	18.0
21	24.0
22	14.0
23	17.0
24	12.0
25	13.0
26	10.0
27	5.0
28	10.0
29	4.0
3	435.0
30	4.0
31	2.0
32	5.0
33	4.0
34	3.0
35	5.0
36	1.0
37	1.0
38	1.0
39	1.0
4	375.0
44	2.0
45	1.0
5	294.0
52	1.0
58	1.0
6	226.0
61	1.0
64	1.0
7	187.0
8	139.0
82	1.0
9	114.0
96	1.0
